koi_disposition,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol
FALSE POSITIVE,4.76887671,132.09888,0.654,1.672,115.8,2.11,1532,1303.61
CANDIDATE,1.347512632,132.127858,1.252,1.9817,2651.8,23.45,1346,775.18
FALSE POSITIVE,0.512581697,132.80609,0.283,1.5789,259.1,1.32,2009,3827.79
FALSE POSITIVE,12.07760884,140.46287,0.264,2.233,151,1.03,708,59.51
CANDIDATE,18.55581565,132.07105,0.073,5.372,565.9,20.83,1793,2442.24
CANDIDATE,13.33094869,133.78632,1.199,1.426,725.6,25.95,815,104.37
FALSE POSITIVE,6.38315744,132.30539,0.029,1.7075,1112.6,2.35,787,91
CONFIRMED,27.52194772,189.824523,0.35,4.047,2312.8,2.47,314,2.28
CONFIRMED,16.1289679,143.75518,0.968,6.271,389,2.94,715,61.87
CONFIRMED,16.2959916,133.90784,0.213,2.116,369.6,1.83,678,49.81
CONFIRMED,4.16056658,132.27418,0.069,2.61,75.8,0.7,985,222.54
FALSE POSITIVE,2.93101771,131.92959,0.523,2.231,199.1,1.15,1134,390.28
CONFIRMED,39.79220077,175.250558,0.019,4.466,610.4,1.9,458,10.38
FALSE POSITIVE,16.2276756,136.62586,0.633,3.699,525.8,2.11,648,41.57
FALSE POSITIVE,1.595630597,136.13782,1.21,1.793,259.6,17.94,1346,778.05
CANDIDATE,20.49041,144.41979,0.011,4.369,661.8,2.34,625,36.01
CANDIDATE,11.1296971,138.57573,0.572,2.942,371,1.93,843,119.44
CONFIRMED,3.11604194,133.84988,0.195,1.7763,345.2,1.59,1123,375.55
CANDIDATE,12.7372371,136.0162,0.364,3.358,100.8,0.87,697,55.82
CANDIDATE,40.0306267,148.85882,0.322,4.815,214.5,2.01,617,34.19
CONFIRMED,0.679336747,132.856178,0.209,1.2188,240.7,1.4,1883,2982.78
FALSE POSITIVE,213.6103207,141.655562,0.977,10.7643,110990,46.07,291,1.69
FALSE POSITIVE,170.8658492,299.660385,0.684,16.9895,29841,24.4,387,5.33
FALSE POSITIVE,10.21507506,133.64546,0.1,3.395,258.6,1.5,780,87.48
CONFIRMED,31.0572947,147.56275,0.335,3.401,636.6,1.85,480,12.57
CONFIRMED,15.1622287,144.474,0.959,7.332,479.8,3.12,829,111.74
FALSE POSITIVE,12.2141545,141.3677,1.175,10.262,535.8,18.13,683,51.37
CANDIDATE,3.03267135,134.0668,0.238,1.774,42.4,0.6,1187,468.31
CONFIRMED,5.34182466,136.3186,0.07,3.577,70.5,0.95,1125,379.09
CONFIRMED,2.131945045,133.65547,0.209,1.8061,269.4,1.66,1418,955.16
CONFIRMED,12.9462567,139.4165,0.109,9.568,168.7,1.13,764,80.34
CANDIDATE,5.77957133,136.53014,0.946,2.5213,396.6,1.5,598,30.22
CANDIDATE,6.77367892,138.07568,0.228,3.579,150.7,1.33,1083,324.84
FALSE POSITIVE,89.465468,170.8426,0.931,9.88,67.9,2.57,549,21.43
CONFIRMED,18.0161227,145.24169,0.023,4.016,499.5,2.39,768,82.38
FALSE POSITIVE,40.8777605,163.43477,1.262,9.745,719.1,29.55,526,18.15
CANDIDATE,6.80243431,132.40355,1,3.817,249.1,2.6,895,151.72
CONFIRMED,21.30181863,191.84136,0.086,3.8763,87.3,0.72,564,23.89
CONFIRMED,4.14789051,135.53291,0.878,3.829,137.6,1.93,1389,878.32
CANDIDATE,19.0054098,144.15574,1.228,1.843,542.4,28.47,758,78.19
FALSE POSITIVE,1.96433113,131.65195,0.16,2.381,139.1,1.33,1638,1704.63
CANDIDATE,2.81043228,133.40821,0.351,3.874,47.4,1.43,1701,1978.53
CONFIRMED,0.968527683,131.50954,0.941,1.3672,114.6,1.21,1677,1867
CANDIDATE,175.603366,202.3721,0.952,9.543,506.8,2.87,348,3.46
CANDIDATE,3.849371737,157.526686,0.915,2.632,1298.6,12.94,2034,4055.29
FALSE POSITIVE,0.366197145,133.55969,0.319,1.2335,275.3,51.34,9983,2335438.28
CONFIRMED,4.164384505,171.087935,0.59,1.8464,2338,2.54,590,28.75
CONFIRMED,2.10433534,133.31612,0.872,1.1168,242.1,0.79,662,45.34
FALSE POSITIVE,1.378649746,169.780113,0.099,1.2232,22462,6.51,734,68.34
FALSE POSITIVE,1.112207126,131.8505,0.402,1.35,54.7,0.73,1797,2467.09
FALSE POSITIVE,1.303576682,133.0758,0.08,1.021,245.5,1.51,1694,1940.45
CONFIRMED,5.19103699,135.21628,0.117,4.222,290.1,1.92,1183,462.91
FALSE POSITIVE,4.79176993,134.03502,0.372,4.52,116.6,0.81,883,143.74
FALSE POSITIVE,0.759762021,131.79506,1.183,4.912,227,24.2,2280,6419.35
CANDIDATE,4.790912471,132.01539,0.969,0.5134,360.7,2.25,717,62.51
CONFIRMED,6.49441464,132.25189,0.911,2.344,357.3,1.75,732,68.05
CONFIRMED,2.576571021,172.126911,0.187,1.5997,852.8,1.57,717,62.42
CONFIRMED,28.4750006,154.5706,0.835,4.718,763.8,2.64,489,13.5
CONFIRMED,14.7966306,142.74484,0.182,5.613,56.1,0.98,874,138.25
CONFIRMED,11.25401871,136.8901,0.603,4.759,433.4,2.42,888,147.13
CONFIRMED,9.18244299,134.04601,0.257,4.318,87.6,1.24,1052,289.74
FALSE POSITIVE,119.682075,176.0877,1.259,31.28,1704.1,30.39,351,3.59
CONFIRMED,42.9923284,162.50532,0.643,4.726,1120.1,3.32,496,14.33
CONFIRMED,6.88341278,172.66227,0.083,2.0674,487.4,2.63,1080,321.63
FALSE POSITIVE,4.593595496,134.88971,1.147,2.7468,45034,44.14,1022,258.12
CANDIDATE,197.5111484,272.3864,0.814,11.106,2575.6,9.52,391,5.54
CONFIRMED,11.1726723,140.00764,0.504,6.106,76.8,1.5,1019,255.06
CONFIRMED,2.53573284,133.01581,0.054,3.989,68,1.36,1671,1842.18
CONFIRMED,11.8376933,142.21212,0.557,3.381,92.9,1,826,110.03
CONFIRMED,18.5525162,135.51322,0.78,4.385,771.5,2.53,612,33.14
CANDIDATE,47.3659328,175.0355,1.085,7.929,757,11.97,481,12.62
CANDIDATE,4.86634094,353.34131,0.895,1.885,366.7,1.94,881,142.39
CANDIDATE,5.60402307,133.82508,0.8,1.0273,224.9,1.25,774,84.65
CONFIRMED,13.0313583,144.11544,0.813,4.521,573.3,2.88,774,84.94
CONFIRMED,40.9905002,132.4136,0.048,7.336,297.3,2.41,627,36.5
CANDIDATE,57.2932309,146.23112,0.021,4.878,773.6,1.95,355,3.76
CONFIRMED,8.00504749,138.71228,0.054,3.32,187.5,1.52,1035,271.68
CONFIRMED,12.13070414,139.89855,0.083,3.843,211.2,1.61,901,155.85
CANDIDATE,29.2254372,143.98764,0.384,5.293,174.1,1.35,614,33.69
FALSE POSITIVE,40.8792243,163.41583,0.79,7.005,413.6,1.62,437,8.59
CONFIRMED,18.8262877,134.70322,0.198,2.344,795.8,2.34,591,28.85
CANDIDATE,13.9034057,143.52317,0.871,3.408,261.4,1.55,646,41.08
CONFIRMED,3.41045981,131.58062,0.971,2.866,136.2,1.06,892,149.88
CONFIRMED,4.76702759,132.69368,0.077,2.013,163.4,1.19,1046,282.97
CONFIRMED,13.62801048,135.45073,0.927,3.5374,912.8,3.28,639,39.48
CANDIDATE,53.3580444,138.38498,0.905,6.812,736.1,3.41,474,11.94
CONFIRMED,16.83203175,140.53041,0.533,4.031,326,1.86,690,53.44
FALSE POSITIVE,13.37499553,142.38153,0.045,1.639,458.1,2.01,703,57.85
FALSE POSITIVE,4.35370136,134.09426,0.535,1.913,168.9,1.33,1179,456.83
CANDIDATE,1.385787741,135.49119,0.35,1.6449,85.4,0.55,1008,245.15
CANDIDATE,12.02295362,136.20687,0.965,1.2667,778.6,3.28,776,85.78
CONFIRMED,18.59611518,141.26331,0.014,2.3052,813.8,1.53,371,4.48
CONFIRMED,5.77440326,132.96695,0.425,1.768,245.3,0.8,529,18.6
CONFIRMED,11.47685263,139.63194,0.07,2.756,240.6,1.58,796,94.94
CANDIDATE,73.711039,202.7848,0.284,10.062,136.7,1.77,563,23.81
CANDIDATE,14.43348326,143.60783,1.185,2.663,526.8,16.25,558,22.91
CANDIDATE,6.35705314,135.47756,0.023,1.324,272.2,1.59,990,227.07
FALSE POSITIVE,0.759706632,131.7692,0.52,1.0896,39.7,1.38,3834,51080.76
CONFIRMED,4.37033233,131.92696,0.093,2.845,177.8,1.56,1191,475.39
FALSE POSITIVE,1.08070294,131.86686,0.688,3.363,145.6,1.04,1565,1419.52
FALSE POSITIVE,4.74254518,133.13916,0.051,1.023,305.7,1.77,1118,369.34
FALSE POSITIVE,18.13559979,138.31557,1.194,2.019,452.7,24.49,744,72.36
CONFIRMED,3.70429015,132.21478,0.001,3.37,55.7,1.45,1839,2708.57
CONFIRMED,37.3331165,162.90453,0.851,7.643,187.8,2.5,657,44.17
CANDIDATE,17.6997392,140.94958,0.105,2.76,752.7,1.96,523,17.73
CONFIRMED,6.03355539,137.121,0.35,10.049,89.5,3.34,1598,1540.84
FALSE POSITIVE,0.933746783,131.51962,0.007,4.255,417.5,1.3,1309,696.63
FALSE POSITIVE,6.09740316,133.32402,1.2051,4.635,568.5,45.49,1826,2630.31
CANDIDATE,0.754457729,134.983522,0.677,0.5891,248.2,2.07,2131,4879.62
CONFIRMED,2.7612237,131.6081,0.238,3.681,66.8,1.84,2017,3906.36
FALSE POSITIVE,62.6825769,182.22959,1.095,2.327,398.9,39.8,916,166.36
FALSE POSITIVE,50.5715805,161.11366,0.074,3.726,1282.6,2.74,406,6.44
CANDIDATE,16.2707207,145.097,1.187,5.707,468,28.42,827,110.79
CONFIRMED,2.032319072,132.32157,0.133,1.6762,315.5,1.87,1542,1333.35
FALSE POSITIVE,4.100870416,168.1460533,0.938,8.15361,123520,82.46,1413,939.61
CONFIRMED,4.35407371,132.85695,0.734,2.427,277.1,1.63,1043,279.53
CONFIRMED,13.71218522,135.51875,0.68,2.437,786.7,2.47,676,49.26
CANDIDATE,12.14684625,131.55623,0.687,6.197,70.7,1.75,1097,342.49
CONFIRMED,7.46718958,136.39348,0.486,3.633,75.7,1.04,1035,271.25
CONFIRMED,51.1319346,137.1568,0.829,6.019,382.3,2.43,542,20.36
CONFIRMED,9.549277089,175.757183,0.068,1.5832,1826.9,1.57,374,4.62
CANDIDATE,24.1073172,145.9415,0.693,10.465,104.2,2.74,1065,304.22
FALSE POSITIVE,1.228721184,133.49967,0.208,1.041,465.6,1.62,1324,728.99
CONFIRMED,4.69505576,133.93643,0.204,3.058,240,1.49,1098,343.6
FALSE POSITIVE,0.569115976,132.01945,0.068,2.028,796.9,1.8,1589,1504.24
CONFIRMED,7.258450123,138.344691,0.05,5.7297,3714.7,5.53,880,141.3
FALSE POSITIVE,6.0959841,135.0254,0.657,10.39,112.7,0.99,988,225.07
CONFIRMED,22.9221181,133.66805,0.603,8.2,140.3,1.33,684,51.7
CONFIRMED,7.42697378,133.099,0.337,3.206,205.2,1.4,899,154.52
FALSE POSITIVE,5.46091846,131.66849,0.4,1.781,172,1.25,1106,353.34
CONFIRMED,3.17323012,133.69979,0.085,1.9094,204.5,0.88,830,112.21
CONFIRMED,5.398752862,173.858666,0.015,3.4303,346.5,2.21,1140,398.33
FALSE POSITIVE,5.26648126,131.6902,0.403,1.964,97.8,1.07,1155,420.53
FALSE POSITIVE,2.67596808,133.70492,0.115,2.021,420.6,1.57,998,234.19
CONFIRMED,7.41683033,137.96389,0.873,7.274,72.6,3.36,1425,973.85
CANDIDATE,0.727331746,132.37007,0.153,0.8323,357.4,0.67,849,122.92
CANDIDATE,1.302017467,131.93696,0.286,1.3692,290.5,1.37,1344,772.73
CONFIRMED,8.63050092,139.57438,0.595,3.144,325.8,1.43,739,70.63
FALSE POSITIVE,12.49117388,136.31491,0.747,2.848,189.9,1.36,763,80.08
CONFIRMED,3.27645723,131.97924,0.001,2.219,323,1.71,1195,482.56
CANDIDATE,16.0573291,132.39054,0.883,3.546,575,2.27,645,41.04
FALSE POSITIVE,8.44326557,136.26748,0.42,3.353,359.5,1.97,934,179.79
CANDIDATE,4.60300256,133.22313,0.072,2.6848,302.5,1.32,848,122.02
FALSE POSITIVE,16.9329284,132.15407,0.319,1.218,488.3,2.46,793,93.34
CANDIDATE,1.169010526,131.738567,1.13,1.1717,165.9,91.91,3766,47688.8
CONFIRMED,1.916940872,132.46734,0.405,1.4243,105.1,0.89,1246,571.25
CANDIDATE,5.05661302,134.39648,0.616,3.926,137.9,1.15,1049,286.32
FALSE POSITIVE,2.17489806,134.11887,0.76,4.599,74.8,1.08,1496,1187.26
CONFIRMED,28.6253502,158.11827,0.021,4.551,652.7,2.38,573,25.54
FALSE POSITIVE,1.319677953,132.06143,0.62,1.978,100.7,1.13,1843,2729.71
CANDIDATE,8.94337724,137.30234,0.163,2.469,215.1,1.48,946,188.93
CANDIDATE,0.827151296,132.07927,0.281,1.385,272.4,19.1,5171,168151.39
CONFIRMED,12.28299829,170.39809,0.047,2.7096,2794.7,2.83,431,8.14
CANDIDATE,6.383159135,170.604622,0.197,1.7504,2313.2,2.73,530,18.73
CONFIRMED,115.6863392,246.98666,0.226,4.65,945.9,3.52,401,6.09
CONFIRMED,3.81371423,132.57465,0.306,1.973,281,1.37,1029,264.63
CANDIDATE,38.0970717,140.00353,0.953,4.307,913.3,1.58,242,0.81
FALSE POSITIVE,2.637574744,134.212775,0.909,5.4573,5423.5,9.16,1385,868.86
CANDIDATE,38.2292037,166.01191,0.571,3.893,605.8,1.51,359,3.92
CONFIRMED,16.3012727,133.79446,0.88,3.974,259.5,1.54,557,22.73
CONFIRMED,13.32354078,134.03671,0.225,3.873,116.6,1.32,872,136.61
CONFIRMED,2.607545159,131.83453,0.206,1.3916,351.5,2.07,1431,993.79
CONFIRMED,3.24417541,132.94014,0.761,1.992,371.9,1.84,1047,283.66
FALSE POSITIVE,6.85567248,136.01953,0.479,2.268,197.7,1.27,897,153.07
FALSE POSITIVE,2.28607282,133.557,0.059,7.82,261.8,1.01,942,186.39
CANDIDATE,16.4793229,142.94163,0.263,3.312,479.1,1.53,537,19.62
CONFIRMED,3.65690909,134.95269,0.217,2.064,107.4,1.32,1368,828.52
CANDIDATE,88.0712769,214.51304,0.347,6.758,885.4,2.4,330,2.79
CONFIRMED,8.38395796,134.41408,0.892,5.2,108.5,3.24,1285,645.64
CONFIRMED,1.68189051,133.07951,0.415,2.992,83.2,1.27,1790,2432.14
FALSE POSITIVE,8.59000355,131.97492,0.909,6.68,298.1,1.82,843,119.26
CANDIDATE,44.9977604,160.2298,0.928,9.686,170.2,1.59,508,15.74
CONFIRMED,7.12815163,136.88006,0.201,5.522,45.9,1.36,1373,839.5
CANDIDATE,2.10081629,132.26789,0.979,2.8182,169.1,1.65,1378,852.78
FALSE POSITIVE,0.872952088,131.49734,1.1,1.4499,137.3,25.5,3165,23715.46
CONFIRMED,7.01074295,138.4027,0.427,2.1787,222.8,3.76,1453,1054.63
CONFIRMED,17.2922631,135.75448,0.865,7.042,203.1,2.13,809,101.22
CANDIDATE,14.02634692,135.17539,0.877,1.2808,403.6,2.66,822,108.07
CONFIRMED,45.0909201,133.55146,0.957,4.605,436.3,2.44,487,13.27
CONFIRMED,15.0539886,135.53329,0.886,4.422,221.5,1.44,665,46.3
CANDIDATE,7.4464635,137.3391,0.531,4.084,78,0.77,879,141.12
CANDIDATE,159.388788,226.9313,0.109,8.432,1033,2.73,289,1.65
CONFIRMED,1.565412613,132.91281,0.003,0.7572,2754.6,1.73,648,41.85
CONFIRMED,5.14892346,133.31971,0.719,0.9613,2355,1.72,436,8.54
FALSE POSITIVE,0.730943372,131.49862,0.792,3.004,134.7,1.37,2190,5461.14
FALSE POSITIVE,0.515552803,131.651719,1.128,1.7869,1224.1,13.96,1807,2508.21
CANDIDATE,2.522590567,131.64534,1.261,1.406,210.2,25.82,1205,499.07
CONFIRMED,6.73968289,132.29296,0.662,4.183,142,1.48,1011,246.9
CONFIRMED,41.74598855,210.399151,0.049,4.6125,421.8,2.4,584,27.58
FALSE POSITIVE,75.378004,167.11715,0.989,6.744,447.8,3.82,455,10.13
CONFIRMED,213.258526,268.13424,0.037,7.768,1992.3,2.72,202,0.39
CONFIRMED,4.871223664,133.64255,0.706,1.5916,6462,1.56,341,3.18
CONFIRMED,2.984157711,133.11908,0.45,1.2637,2598,0.92,401,6.12
CONFIRMED,2.8867624,131.66592,0.92,0.9879,631.8,1.24,557,22.75
CANDIDATE,2.252976718,132.23957,0.157,1.7131,467.9,1.19,795,94.26
FALSE POSITIVE,2.75505467,133.42201,0.738,3.426,85.5,1.74,1783,2387.41
FALSE POSITIVE,1.572181216,131.77456,1.149,7.219,219.5,77.12,3384,30903.98
FALSE POSITIVE,2.72288246,131.90948,0.08,2.408,152.6,1.06,1162,431.75
CONFIRMED,1.574090323,131.86116,0.071,1.5796,224.9,0.93,998,234.92
FALSE POSITIVE,0.947738312,132.38567,0.022,1.206,202.2,0.88,1229,537.85
CANDIDATE,13.7872627,144.77403,0.921,5.747,75.1,1.55,894,150.64
CANDIDATE,5.95958637,135.00822,0.26,2.899,133.1,1.02,897,153.48
CANDIDATE,5.83892993,136.90293,0.319,1.1066,237.4,1.19,835,114.94
CONFIRMED,2.279523364,133.3576,0.033,1.6202,126.8,0.87,1123,374.78
CONFIRMED,12.2854718,131.90073,0.291,2.996,1617.1,2.21,434,8.39
CANDIDATE,3.09756897,131.55889,0.408,4.588,83.3,1.75,1782,2380.18
CONFIRMED,58.0337426,138.7412,0.021,5.584,807.1,3.21,486,13.17
CONFIRMED,14.4252635,136.75608,0.013,3.754,221.2,1.68,773,84.28
CONFIRMED,26.6757818,149.99527,0.713,2.696,474.8,2.69,630,37.15
CONFIRMED,0.868386354,132.06741,0.135,1.066,488.5,1.52,1389,880.33
CONFIRMED,11.8288843,137.6991,0.2658,3.337,191,1.18,730,67.13
FALSE POSITIVE,1.480323978,131.7553,0.617,1.833,166.2,1.46,1743,2180.25
CANDIDATE,205.385912,284.18824,0.008,8.681,1248.7,2.11,200,0.38
FALSE POSITIVE,1.11431205,131.75649,0.141,2.112,160.4,1.07,1635,1691.99
CANDIDATE,3.42064689,132.30629,0.92,1.767,356.8,2.27,1129,382.68
CANDIDATE,1.23935745,131.85254,0.932,1.683,150.9,1.5,1583,1488.51
CONFIRMED,0.675650404,131.68114,0.03,1.8261,200.7,1.36,2085,4473.06
CANDIDATE,1.407020118,131.60897,0.167,1.3766,181.9,1.12,1350,782.45
CANDIDATE,24.4359956,134.8181,0.019,6.254,496.6,2.31,674,48.81
FALSE POSITIVE,10.06478627,135.24121,0.729,2.86,285.7,1.49,729,66.74
FALSE POSITIVE,1.12976597,132.526,0.338,3.096,133.7,0.83,1429,987.44
CONFIRMED,16.23191704,171.67758,0.017,7.461,501.6,3.54,926,174.1
FALSE POSITIVE,15.4126766,144.9757,0.958,3.402,599.8,2.82,618,34.56
FALSE POSITIVE,1.110599919,131.57274,0.214,1.3493,157.6,1.07,1539,1320.65
CONFIRMED,21.86965714,140.29513,0.557,5.5177,125.5,1.51,790,92
CONFIRMED,9.02436414,133.54199,0.014,3.011,214.6,1.62,939,183.39
FALSE POSITIVE,0.878855771,131.49524,0.41,1.1014,269.7,1.57,1864,2857.19
CANDIDATE,17.57704569,137.73116,1.25,2.022,670,27.21,673,48.33
FALSE POSITIVE,1.00652785,131.71627,0.467,1.3175,125.9,1.03,1815,2556.97
CANDIDATE,1.400755743,132.02177,0.413,1.0562,144.4,1.3,1628,1659.74
CONFIRMED,25.8730914,143.28644,0.196,5.085,694.4,2.88,667,46.82
CONFIRMED,7.44136102,137.74695,0.862,4.554,79.7,1.33,1075,315.02
CONFIRMED,99.2532336,148.53067,0.947,7.208,538,2.17,300,1.93
FALSE POSITIVE,3.84933401,134.43526,0.591,2.299,503.9,2.12,1147,408.84
FALSE POSITIVE,119.0833042,163.56212,1.257,2.558,2951,22.19,240,0.78
CANDIDATE,27.8813154,134.51369,0.168,6.346,209.2,1.54,681,50.86
CONFIRMED,6.4802138,132.8598,0.725,3.27,142,1.26,934,180.05
FALSE POSITIVE,21.3910125,141.29764,0.347,3.512,645.8,1.72,483,12.88
CONFIRMED,14.3832267,140.57648,0.7,8.378,178.5,1.84,889,147.78
CONFIRMED,47.3186631,170.06035,0.189,10.465,263.4,2.1,598,30.22
CONFIRMED,11.12827427,139.54417,0.594,2.6118,6057,4.04,408,6.52
CONFIRMED,2.21571296,131.82107,0.796,1.8211,285.1,1.7,1283,638.56
CANDIDATE,34.4585495,147.82493,0.626,7.434,431,1.88,559,23.05
CONFIRMED,3.35184041,131.64441,0.091,1.9855,345.3,1.88,1294,661.69
FALSE POSITIVE,1.615758517,131.68535,0.234,1.734,41.7,1.31,2158,5140.67
CANDIDATE,110.3783828,175.9317,0.014,12.211,489.8,3.02,473,11.82
CONFIRMED,3.4462125,132.22894,0.704,2.101,83.5,0.7,1015,251.24
CONFIRMED,2.005414293,133.24526,0.874,1.934,59.5,0.65,1216,516.85
CANDIDATE,4.28886792,132.37761,0.534,2.599,59.3,0.57,944,187.43
FALSE POSITIVE,1.868564038,132.51442,0.456,1.192,176.7,1.4,1565,1417.56
CANDIDATE,24.5752524,144.18324,0.489,2.258,1003.4,1.64,316,2.35
CONFIRMED,15.1408916,143.74584,0.136,4.359,476.8,1.93,714,61.42
CANDIDATE,11.39169531,141.55983,0.849,5,51,1.02,886,145.67
CONFIRMED,2.44358543,132.80194,0.258,1.852,59.1,0.67,1249,574.37
FALSE POSITIVE,1.7592691,132.07552,0.564,2.381,140.4,1.21,1519,1254.94
CONFIRMED,2.226496196,133.37195,0.048,1.7073,1839.1,2.1,697,55.76
CANDIDATE,5.72084599,134.66576,0.166,2.744,1316,1.78,509,15.84
CONFIRMED,0.962864171,132.12548,0.736,1.6802,303.5,1.52,1666,1828.67
CONFIRMED,16.23847733,171.019564,0.766,3.9699,646.7,2.76,711,60.35
CONFIRMED,44.616751,164.45238,0.618,7.831,239.7,2.31,693,54.56
FALSE POSITIVE,1.714410345,131.86549,0.56,3.336,50.4,1.84,2551,10025.53
CONFIRMED,14.00948631,132.96947,0.268,3.399,169.9,0.98,617,34.32
FALSE POSITIVE,1.703359172,132.46185,0.152,1.914,57.6,0.69,1525,1284.58
CONFIRMED,1.311558909,131.53283,0.218,1.919,141.3,1.15,1655,1776.99
CONFIRMED,1.291233083,131.99105,0.2,1.855,66,0.89,1887,2993.7
CONFIRMED,10.57375145,175.067739,0.785,1.7259,298.9,2.07,844,120.25
CONFIRMED,3.7847507,133.50785,0.021,2.924,33.5,0.7,1311,699.15
CANDIDATE,2.17291055,131.73552,0.362,2.139,76.4,0.93,1507,1220.49
CONFIRMED,18.2206024,141.37607,0.125,5.109,201.8,1.78,786,90.43
CANDIDATE,7.35101287,133.63951,0.608,2.757,115.9,1.42,1064,303.08
CONFIRMED,47.4497134,173.4565,0.016,10.675,206.4,1.61,551,21.82
CONFIRMED,0.929906166,132.25126,0.102,1.743,108.7,1.48,2291,6514.57
FALSE POSITIVE,0.784513087,131.98751,0.029,1.9206,316.6,131.4,10634,3036857.56
CANDIDATE,6.57159435,132.74598,0.751,3.1044,65.7,1.26,1211,507.81
CONFIRMED,33.878639,160.21869,0.923,6.194,700.1,3.52,564,24
CONFIRMED,27.5722144,145.39543,0.562,5.256,296.3,1.94,636,38.62
CONFIRMED,2.12821621,132.48055,0.098,3.146,25.9,0.7,1668,1831.55
FALSE POSITIVE,0.703399912,131.65929,0.393,0.823,531.4,2.15,2013,3879.31
CANDIDATE,0.868122253,131.83212,0.006,1.5471,231.3,1.65,2047,4163.14
FALSE POSITIVE,1.332560553,132.05303,0.37,3.315,31.7,0.4,1249,574.99
FALSE POSITIVE,18.936061,139.0725,0.285,22.27,24.3,0.34,516,16.7
CONFIRMED,10.65275054,136.08994,0.051,2.684,740.7,2.2,737,69.81
CONFIRMED,3.30040818,133.56723,0.008,4.462,98.8,1.43,1543,1341.9
FALSE POSITIVE,5.62950902,136.8607,0.974,6.542,297.5,2.11,979,216.41
CANDIDATE,13.84301228,139.95334,0.052,4.077,567.8,1.98,699,56.45
CONFIRMED,54.4099612,175.40307,0.157,9.314,193,1.56,513,16.35
FALSE POSITIVE,9.12209336,138.83306,1.236,4.347,906.8,28.17,863,131.35
CONFIRMED,13.84984567,141.64914,0.012,7.2783,84.6,1.45,977,214.98
CONFIRMED,6.12479773,134.93803,0.79,3.466,129.3,1.51,1140,399.43
CONFIRMED,11.24284815,136.32084,0.52,4.241,136,1.44,931,177.7
CONFIRMED,4.02877097,133.76774,0.193,3.173,100.4,1.21,1311,699.45
CONFIRMED,8.92114318,137.49071,0.12,3.933,110.8,1.27,1006,241.79
CONFIRMED,0.916142298,132.02221,0.232,1.1555,98.5,0.6,1212,507.47
FALSE POSITIVE,0.597933473,131.95386,0.562,1.918,106,1.24,2564,10196.42
FALSE POSITIVE,2.69636494,132.99372,0.628,3.892,109,1.24,1406,925.14
CANDIDATE,6.99205021,138.05147,0.944,5.037,33.4,1.06,1194,479.87
CANDIDATE,12.0999065,143.04424,0.14,3.558,165.5,1.39,807,100.37
CANDIDATE,5.36375016,134.65014,0.008,2.94,114.3,1.15,1059,296.73
FALSE POSITIVE,3.17319407,133.38365,0.211,2.512,135.8,0.91,1077,318.23
FALSE POSITIVE,5.24368302,132.7109,0.006,10.873,225.4,0.91,654,43.13
FALSE POSITIVE,5.1952021,133.34401,0.604,2.1552,320.8,1.37,836,115.35
CANDIDATE,31.6084371,134.68285,0.022,3.675,331.6,1.89,634,38.1
CANDIDATE,16.1558656,140.23012,0.973,3.798,731.3,2.04,455,10.1
FALSE POSITIVE,1.465943491,132.32801,0.211,1.513,52.3,1.6,2472,8804.6
CONFIRMED,28.45489091,176.706265,0.5,8.1593,1418.6,6.08,769,82.7
CANDIDATE,1.952711161,133.160986,0.962,0.872,403,2.58,1403,917.15
FALSE POSITIVE,0.620739667,132.10051,1.158,2.477,108.2,29.28,2947,17924.29
FALSE POSITIVE,0.587470828,131.49788,1.161,2.4382,193.8,51.02,3434,33039.47
FALSE POSITIVE,0.934924739,132.17846,0.309,2.052,73.8,2.29,3156,23533
FALSE POSITIVE,25.7054557,156.66709,0.722,6.059,266.3,1.75,670,47.76
CANDIDATE,2.37752442,133.39854,0.256,2.307,32.1,0.53,1278,632.62
FALSE POSITIVE,2.62838097,131.62343,0.087,3.193,89.9,1.01,1375,846.09
CONFIRMED,1.877878538,132.26131,0.248,2.39,47.5,0.78,1701,1977.35
CONFIRMED,35.3331932,153.98249,0.656,5.966,99.7,1.55,670,47.52
CONFIRMED,15.0896415,175.95371,0.02,4.3349,77.8,1.42,968,207.64
CONFIRMED,5.30873978,134.25061,0.173,3.018,127.5,1.08,1042,279.21
CANDIDATE,3.89524296,131.85929,0.224,1.689,189,1.13,956,197.66
FALSE POSITIVE,75.8580035,165.5543,0.935,5.382,1148.4,2.72,281,1.47
FALSE POSITIVE,7.72768833,136.19387,0.203,2.06,404.8,1.89,899,154.46
CANDIDATE,37.3033197,133.3072,0.908,7.793,551.7,2.31,493,14
CONFIRMED,14.8877665,141.95432,0.795,4.981,252.5,1.96,831,112.85
CONFIRMED,4.52158614,133.21804,0.203,3.4702,106.2,1.31,1214,513.68
FALSE POSITIVE,2.007750531,132.57843,0.42,2.0715,352,1.64,1319,716.79
CONFIRMED,7.03146295,134.4525,0.014,5.922,85.4,1.38,1194,480.26
CONFIRMED,54.2811949,140.71639,0.85,5.517,147.8,2.07,604,31.45
FALSE POSITIVE,0.596087893,131.82296,0.283,0.7159,105.1,1.92,2967,18259.79
CONFIRMED,12.58229808,175.02129,0.044,6.375,118.7,1.53,917,167.41
FALSE POSITIVE,7.12684695,137.42807,0.71,3.179,206.3,1.38,941,185.17
